Grid Size,Number of Colors,Total No. of Regenerations until valid board generation,Total No. of Times Matches Occurred during init,Total No. of Deadlocks during init,Average No. of Regenerations until valid board generation,Total No. of Shuffles/Deadlocks Occurred,Average No. of Moves until Shuffle occurs,Average No. of Deadlocks Occurred,Total score per Game Setting,Total Valid Moves Made,Average Score per Move,Total No. of Possible Moves,Average No. of Possible Moves per Configuration,Total No. of Avalanche Matches,Average No. of Avalanche matches occurred,Total Moves Available per Game Setting,Experiment Repeat
"(5, 5)",3,103,103,0,10.3,1,1000.0,0.1,6470,1000,6.47,7382,7.382,751,75.1,100,10
"(5, 5)",4,42,42,0,4.2,23,43.47826086956522,2.3,4924,1000,4.924,4938,4.938,467,46.7,100,10
"(5, 5)",6,7,6,1,0.7,167,5.9880239520958085,16.7,3809,1000,3.809,4328,4.328,255,25.5,100,10
"(5, 5)",8,14,11,3,1.4,414,2.4154589371980677,41.4,3479,1000,3.479,4684,4.684,185,18.5,100,10
"(5, 5)",10,10,7,3,1.0,837,1.1947431302270013,83.7,3264,1000,3.264,4727,4.727,145,14.5,100,10
"(5, 5)",12,8,3,5,0.8,1381,0.724112961622013,138.1,3194,1000,3.194,5135,5.135,146,14.6,100,10
"(5, 5)",14,10,3,7,1.0,6577,0.1520450053215752,657.7,2290,728,3.1456043956043955,4191,4.191,107,10.7,100,10
"(5, 5)",16,24,2,22,2.4,8944,0.11180679785330948,894.4,2018,650,3.1046153846153848,3196,3.196,78,7.8,100,10
"(5, 5)",18,17,0,17,1.7,10925,0.09153318077803203,1092.5,657,213,3.084507042253521,1135,1.135,25,2.5,100,10
"(5, 5)",20,38,3,35,3.8,10675,0.0936768149882904,1067.5,386,122,3.1639344262295084,733,0.733,21,2.1,100,10
"(5, 5)",22,40,4,36,4.0,10248,0.0975800156128025,1024.8,180,59,3.0508474576271185,200,0.2,5,0.5,100,10
"(7, 7)",4,343,343,0,34.3,0,inf,0.0,5816,1000,5.816,10971,10.971,656,65.6,100,10
"(7, 7)",6,47,47,0,4.7,20,50.0,2.0,4258,1000,4.258,5932,5.932,337,33.7,100,10
"(7, 7)",8,18,18,0,1.8,111,9.00900900900901,11.1,3678,1000,3.678,7315,7.315,214,21.4,100,10
"(7, 7)",10,15,15,0,1.5,221,4.524886877828054,22.1,3505,1000,3.505,8978,8.978,203,20.3,100,10
"(7, 7)",12,11,11,0,1.1,386,2.5906735751295336,38.6,3346,1000,3.346,8702,8.702,163,16.3,100,10
"(7, 7)",14,7,4,3,0.7,513,1.949317738791423,51.3,3307,1000,3.307,9994,9.994,158,15.8,100,10
"(7, 7)",16,3,3,0,0.3,706,1.4164305949008498,70.6,3162,1000,3.162,10267,10.267,137,13.7,100,10
"(7, 7)",18,16,10,6,1.6,992,1.0080645161290323,99.2,3114,1000,3.114,10142,10.142,118,11.8,100,10
"(7, 7)",20,7,1,6,0.7,1211,0.8257638315441783,121.1,3094,1000,3.094,10158,10.158,120,12.0,100,10
"(7, 7)",22,3,1,2,0.3,1430,0.6993006993006993,143.0,3083,1000,3.083,9419,9.419,114,11.4,100,10
"(7, 7)",24,11,6,5,1.1,1956,0.5112474437627812,195.6,3044,1000,3.044,10729,10.729,110,11.0,100,10
"(7, 7)",26,9,1,8,0.9,2499,0.4001600640256102,249.9,3050,1000,3.05,10445,10.445,109,10.9,100,10
"(7, 7)",28,13,2,11,1.3,3116,0.3209242618741977,311.6,3054,1000,3.054,9676,9.676,113,11.3,100,10
"(7, 7)",30,17,2,15,1.7,4029,0.2482005460412013,402.9,3054,1000,3.054,10954,10.954,127,12.7,100,10
"(7, 7)",32,23,2,21,2.3,5907,0.16929067208396817,590.7,2904,946,3.0697674418604652,10063,10.063,115,11.5,100,10
"(7, 7)",34,28,1,27,2.8,9128,0.10955302366345311,912.8,2496,826,3.0217917675544794,7689,7.689,82,8.2,100,10
"(7, 7)",36,50,4,46,5.0,9437,0.1059658789869662,943.7,2506,829,3.02291917973462,7375,7.375,78,7.8,100,10
"(7, 7)",38,36,6,30,3.6,11679,0.08562376915831835,1167.9,1504,498,3.0200803212851404,4346,4.346,43,4.3,100,10
"(7, 7)",40,49,1,48,4.9,15775,0.06339144215530904,1577.5,1443,475,3.037894736842105,5381,5.381,61,6.1,100,10
"(7, 7)",42,34,1,33,3.4,12774,0.07828401440425865,1277.4,757,249,3.040160642570281,2395,2.395,24,2.4,100,10
"(7, 7)",44,39,2,37,3.9,13697,0.07300868803387603,1369.7,969,322,3.0093167701863353,3450,3.45,37,3.7,100,10
"(10, 10)",5,3330,3330,0,333.0,0,inf,0.0,5124,1000,5.124,17656,17.656,502,50.2,100,10
